state,churn,count
AK,False,49
AK,True,3
AL,False,72
AL,True,8
AR,False,44
AR,True,11
AZ,False,60
AZ,True,4
CA,False,25
CA,True,9
CO,False,57
CO,True,9
CT,False,62
CT,True,12
DC,False,49
DC,True,5
DE,False,52
DE,True,9
FL,False,55
FL,True,8
GA,False,46
GA,True,8
HI,False,50
HI,True,3
IA,False,41
IA,True,3
ID,False,64
ID,True,9
IL,False,53
IL,True,5
IN,False,62
IN,True,9
KS,False,57
KS,True,13
KY,False,51
KY,True,8
LA,False,47
LA,True,4
MA,False,54
MA,True,11
MD,False,53
MD,True,17
ME,False,49
ME,True,13
MI,False,57
MI,True,16
MN,False,69
MN,True,15
MO,False,56
MO,True,7
MS,False,51
MS,True,14
MT,False,54
MT,True,14
NC,False,57
NC,True,11
ND,False,56
ND,True,6
NE,False,56
NE,True,5
NH,False,47
NH,True,9
NJ,False,50
NJ,True,18
NM,False,56
NM,True,6
NV,False,52
NV,True,14
NY,False,68
NY,True,15
OH,False,68
OH,True,10
OK,False,52
OK,True,9
OR,False,67
OR,True,11
PA,False,37
PA,True,8
RI,False,59
RI,True,6
SC,False,46
SC,True,14
SD,False,52
SD,True,8
TN,False,48
TN,True,5
TX,False,54
TX,True,18
UT,False,62
UT,True,10
VA,False,72
VA,True,5
VT,False,65
VT,True,8
WA,False,52
WA,True,14
WI,False,71
WI,True,7
WV,False,96
WV,True,10
WY,False,68
WY,True,9
